Title,Subtitle,Authors,Categories,Published_year,Average_rating
Sayang,,Dos,Love,2005,5.00
Gilead,,Marilynne Robinson,Fiction,2004.0,3.85
Spider's Web,A Novel,Charles Osborne;Agatha Christie,Detective and mystery stories,2000.0,3.83
The One Tree,,Stephen R. Donaldson,American fiction,1982.0,3.97
Rage of angels,,Sidney Sheldon,Fiction,1993.0,3.93
The Four Loves,,Clive Staples Lewis,Christian life,2002.0,4.15
The Problem of Pain,,Clive Staples Lewis,Christian life,2002.0,4.09
An Autobiography,,Agatha Christie,"Authors, English",1977.0,4.27
Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,"Africa, East",1998.0,4.41
The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",1994.0,4.15
Master of the Game,,Sidney Sheldon,Adventure stories,1982.0,4.11
If Tomorrow Comes,,Sidney Sheldon,Adventure stories,1994.0,4.04
Assassin's Apprentice,,Robin Hobb,American fiction,1996.0,4.15
Warhost of Vastmark,,Janny Wurts,Fiction,1995.0,4.03
The Once and Future King,,Terence Hanbury White,Arthurian romances,1996.0,4.04
Murder in LaMut,,Raymond E. Feist;Joel Rosenberg,Adventure stories,2003.0,3.7
Jimmy the Hand,,Raymond E. Feist;S. M. Stirling,Fantasy fiction,2003.0,3.95
Well of Darkness,,Margaret Weis;Tracy Hickman,,2001.0,3.66
Witness for the Prosecution & Selected Plays,,Agatha Christie,English drama,1995.0,4.05
The Little House,,Philippa Gregory,Country life,1998.0,3.66
Mystical Paths,,Susan Howatch,English fiction,1996.0,4.23
Glittering Images,,Susan Howatch,English fiction,1996.0,4.07
Glamorous Powers,,Susan Howatch,Clergy,1996.0,4.2
The Mad Ship,,Robin Hobb,Fantasy fiction,2000.0,4.24
Post Captain,,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",1996.0,4.29
The Reverse of the Medal,,Patrick O'Brian,Adventure stories,1997.0,4.41
Miss Marple,The Complete Short Stories,Agatha Christie,"Detective and mystery stories, English",1997.0,4.2
The Years of Rice and Salt,,Kim Stanley Robinson,Black Death,2003.0,3.73
Spares,,Michael Marshall Smith,Human cloning,1998.0,4.13
Gravity,,Tess Gerritsen,Science fiction,2004.0,4.04
The Wise Woman,,Philippa Gregory,Great Britain,2002.0,3.31
Girls' Night in,,Jessica Adams;Chris Manby;Fiona Walker,American fiction,2000.0,3.26
The White Album,,Joan Didion,American essays,1993.0,4.17
The Bonesetter's Daughter,,Amy Tan,China,2001.0,3.98
The Lexus and the Olive Tree,,Thomas L. Friedman,Capitalism,2000.0,3.59
'Tis,A Memoir,Frank McCourt,Ireland,2000.0,3.68
Ocean Star Express,,Mark Haddon;Peter Sutton,Juvenile Fiction,2002.0,3.5
A Small Pinch of Weather,And Other Stories,Joan Aiken,"Children's stories, English",2000.0,4.27
The Princess of the Chalet School,,Elinor Mary Brent-Dyer,Juvenile Fiction,2000.0,4.1
Koko,,Peter Straub,Male friendship,2001.0,3.56
Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,Literary Collections,2001.0,4.09
Partners in Crime,,Agatha Christie,"Beresford, Tommy (Fictitious character)",2001.0,3.77
Murder in Mesopotamia,,Agatha Christie,Detective and mystery stories,2001.0,3.89
"The Lord of the Rings, the Return of the King",Visual Companion,Jude Fisher,Imaginary wars and battles,2003.0,4.59
All Families are Psychotic,,Douglas Coupland,Dysfunctional families,2002.0,3.69
Death in the Clouds,,Agatha Christie,Detective and mystery stories,2001.0,3.8
Appointment with Death,,Agatha Christie,Detective and mystery stories,2001.0,3.86
Hallowe'en Party,,Agatha Christie,"Poirot, Hercule (Fictitious character)",2001.0,3.66
Hercule Poirot's Christmas,,Agatha Christie,Christmas stories,2001.0,3.93
The Big Four,,Agatha Christie,Detective and mystery stories,2002.0,3.59
The Thirteen Problems,,Agatha Christie,"Detective and mystery stories, English",2002.0,3.89
They Do it with Mirrors,,Agatha Christie,American fiction,2002.0,3.75
A Murder is Announced,,Agatha Christie,"Detective and mystery stories, English",2002.0,3.98
The Mirror Crack'd from Side to Side,,Agatha Christie,"Marple, Jane (Fictitious character)",2002.0,3.91
Mrs McGinty's Dead,,Agatha Christie,Belgians,2002.0,3.83
Taken at the Flood,,Agatha Christie,Fiction,2002.0,3.71
The Hollow,,Agatha Christie,Detective and mystery stories,2002.0,3.79
Third Girl,,Agatha Christie,Belgians,2002.0,3.62
The Secret of Chimneys,,Agatha Christie,"Battle, Superintendent (Fictitious character)",2001.0,3.86
The Lord of the Rings,,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",2001.0,4.49
The Metaphysical Club,,Louis Menand,Cambridge (Mass.),2002.0,4.07
The illustrated man,,Ray Bradbury,Fiction,2002.0,4.14
Wilkins' Tooth,,Diana Wynne Jones,Business enterprises,2002.0,3.59
Cut,,Patricia McCormick,Emotional problems,2002.0,3.76
The Lord of the Rings,The Art of The Return of the King,Gary Russell,Characters and characteristics in motion pictures,2004.0,4.54
The Lord of the Rings,,John Ronald Reuel Tolkien,"Fantasy fiction, English",2002.0,4.49
The Fellowship of the Ring,,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",2002.0,4.35
Lirael,Daughter of the Clayr,Garth Nix,Fantasy fiction,2004.0,4.3
Tales from the Perilous Realm,,John Ronald Reuel Tolkien,"Fairy tales, English",2002.0,4.08
Breaking Open the Head,A Visionary Journey from Cynicism to Shamanism,Daniel Pinchbeck,Hallucinogenic drugs,2004.0,4.06
The Yiddish Policemen's Union,A Novel,Michael Chabon,Fiction,2007.0,3.7
"Beware, Princess Elizabeth",,Carolyn Meyer,Children's stories,2003.0,3.88
The Family Way,,Tony Parsons,Parenthood,2005.0,3.51
Endless Night,,Agatha Christie,FICTION,2002.0,3.77
How to be Alone,,Jonathan Franzen,Literary Collections,2004.0,3.6
The Mysterious Mr. Quin,,Agatha Christie,Detective and mystery stories,2003.0,3.72
The Listerdale Mystery,,Agatha Christie,Detective and mystery stories,2003.0,3.55
The Real Trial of Oscar Wilde,,Merlin Holland,Biography & Autobiography,2004.0,4.04
I Can Read with Me Eyes Shut!,,Dr. Seuss,"Authors, American",2003.0,4.2
"Oh, the Places You'll Go!",,Dr. Seuss,Adventure stories,2003.0,4.35
If I Die in a Combat Zone,,Tim O'Brien,"Vietnam War, 1961-1975",2003.0,3.95
The Return of the King,Being the Third Part of The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",2003.0,4.52
The Silmarillion,,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,2004.0,3.91
I Wish that I Had Duck Feet,,Dr. Seuss;Barney Tobey,Children's stories,2004.0,4.16
Oh Say Can You Say?,,Dr. Seuss,Children's stories,2004.0,4.01
There's a Boy in the Girls' Bathroom,,Louis Sachar,Boys,2004.0,3.98
Microserfs,,Douglas Coupland,Computer programmers,2004.0,3.88
Miss Wyoming,,Douglas Coupland,Actors,2004.0,3.48
Where Rainbows End,,Cecelia Ahern,Friendship,2004.0,3.94
Poirot,The Complete Ariadne Oliver,Agatha Christie,Authors,2005.0,4.2
The Art of The Lord of the Rings,,Gary Russell,Costume,2004.0,4.52
The Known World,,Edward P. Jones,African American plantation owners,2004.0,3.83
Discover Your Destiny with the Monk Who Sold His Ferrari,The 7 Stages of Self-Awakening,Robin Sharma,Conduct of life,2004.0,3.9
Naked Lunch,The Restored Text,William S. Burroughs,Alienation (Social psychology),2005.0,3.44
Tropic of Cancer,,Henry Miller,Fiction,2005.0,3.69
Close Range,Brokeback Mountain and Other Stories,Annie Proulx,Cowboys,2006.0,3.99
The Love of the Last Tycoon,The Authorized Text,F. Scott Fitzgerald,Fiction,1994.0,3.65
The Song of Rhiannon,The Third Branch of the Mabinogion,Evangeline Walton,Fiction,1992.0,4.02
Heart Songs and Other Stories,,Annie Proulx,Fiction,1995.0,3.93
The voyage of the Dawn Treader,,Clive Staples Lewis,Juvenile Fiction,1970.0,4.09
"The Chronicles of Narnia: Lion, the witch and the wardrobe",,Clive Staples Lewis,Fairy tales,1978.0,4.26
The Short Stories of Ernest Hemingway,,Ernest Hemingway,Fiction,1986.0,4.26
"The Screwtape Letters ; With, Screwtape Proposes a Toast",,Clive Staples Lewis,Christianity,1982.0,4.22
Reason in History,A General Introduction to the Philosophy of History,Georg Wilhelm Friedrich Hegel,Philosophy,1953.0,3.64
The Elements of Style,,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,1979.0,4.2
The Presocratics,,Philip Wheelwright,Philosophy,1966.0,4.04
Spandau,The Secret Diaries,Albert Speer,History,1976.0,4.12
The Rumble Seat Pony,,Clarence William Anderson,"Animals, Treatment of",1971.0,4.17
The Journey with Grandmother,,Edith Unnerstad,Grandmothers,1960.0,3.75
Tyranny of the Majority,Funamental Fairness in Representative Democracy,Lani Guinier,History,1995.0,3.82
The Origins of the Civil Rights Movement,,Aldon D. Morris,History,1986.0,4.04
Presidential Power and the Modern Presidents,The Politics of Leadership from Roosevelt to Reagan,Richard E. Neustadt,History,1991.0,3.79
"Rest, Rabbit, Rest",,Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,1978.0,4.01
Where the Red Fern Grows,The Story of Two Dogs and a Boy : with Connections,Wilson Rawls,Juvenile Fiction,2000.0,4.37
Poppy's Return,,Avi,Juvenile Fiction,2006.0,3.99
Diary of a Spider,,Doreen Cronin,Juvenile Fiction,2005.0,4.25
An Old-Fashioned Thanksgiving,,Louisa May Alcott;James Bernardin,Juvenile Fiction,2005.0,3.7
The Paradox of Choice,Why More Is Less,Barry Schwartz,Business & Economics,2005.0,3.84
